Price,Currency,Transaction Type,Title,Description,Category,Date Posted,Link
649.99,CAD,sell,Nvidia GeForce GTX 1070 Founders Edition - 900-1G411-2520-001 (Renewed),,,,/Nvidia-GeForce-GTX-1070-Founders/dp/B01H1BLHYS/ref=sr_1_11?keywords=vega+56&qid=1642306177&sr=8-11
675.69,CAD,sell,MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super Gaming X),,,,/MSI-GeForce-192-bit-Support-Graphics/dp/B07ZK69HDK/ref=sr_1_5?keywords=vega+56&qid=1642306177&sr=8-5
730.0,USD,SELLING,VEGA 56 SAPPHIRE NITRO+ LIMITED EDITION 3 PIN ,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/165252087156
759.0,USD,SELLING,"""Benchmark Tested"" MSI RADEON RX VEGA 56 GPU 8GB OC Edition AIR BOOST GRAPHICS",Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/154764531370
769.0,USD,SELLING,MSI Radeon RX VEGA 56 8GB OC Air Boost Graphics Card | VR READY!,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/125100667082
770.0,USD,SELLING,XFX AMD RX Vega 56 8GB-HBM2 (Double Edition) Graphics Card GPU,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/115168152141
789.0,CAD,sell,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,,,,/ASRock-Phantom-DirectX-256-Bit-Express/dp/B07FMHR1X5/ref=sr_1_16?keywords=vega+56&qid=1642306177&sr=8-16
795.99,USD,SELLING,MSI Radeon RX Vega 56 DirectX 12 Air Boost 8G OC 8GB Graphics Card,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/384668533639
798.0,USD,SELLING,AMD Radeon RX Vega 56 8GB Graphics Card Phantom Gaming,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/194684680711
799.0,USD,SELLING,"""Benchmark Tested"" PowerColor AMD Radeon RX Vega 56 8GB GDDR5 Graphics Card",Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/154763166661
799.99,USD,SELLING,AMD Radeon RX Vega 56 8GB HBM2 PowerColor Red Devil Graphics Card Vega56 GPU,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/194727663750
889.0,USD,SELLING,Gigabyte AMD Radeon RX Vega 56 Gaming OC 8gb,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/125080703388
899.0,USD,SELLING,AMD Radeon RX Vega 56 8GB HBM Graphics Card for Apple Mac Pro 2008-2012 580,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/254897600041
925.0,USD,SELLING,PowerColor AMD Radeon Red Devil RX VEGA 56 8GB HBM2 - Great condition,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/313683720017
957.71,USD,SELLING,graphics card Msi Radeon Rx Vega 56 Pci-Express,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/133933609770
969.84,USD,SELLING,ASUS ROG Radeon RX VEGA 56 8GB OC Graphics Card ROG-STRIX-RXVEGA56-O8G-GAMING,Condition:Open box,Graphics/Video Cards,,https://www.ebay.ca/itm/164887043782
988.53,CAD,sell,"XFX Speedster QICK319 AMD Radeon RX 6700 XT Black Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-67XTYPBDP",,,,/XFX-Speedster-QICK319-Graphics-RX-67XTYPBDP/dp/B091ZKN2RV/ref=sr_1_4?keywords=vega+56&qid=1642306177&sr=8-4
989.0,USD,SELLING,MSI Radeon RX Vega 56 Air Boost 8G OC Graphics Board VD6516 Used with box JP F/S,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/234113373397
998.0,USD,SELLING,Blackmagic eGPU Pro Vega 56  8GB VRAM,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/203780929551
,CAD,BUYING,Wanted: Looking for Video/ Graphics Cards,"Looking for some graphics cards for a side project I am working on. Nvidia 1060 (6 Gb) /1070/1080/2060/2070/2080.Open to AMD RX 580/ 590 8Gb versions, and the Vega 64 and 56.Not looking for your scalped 3060 for 3x MRSP",v-computer-components,2021/11/25,https://www.kijiji.ca/v-computer-components/edmonton/looking-for-video-graphics-cards/1595725803
,CAD,BUYING,Wanted: wanted Bricked GPU's,"Wanted Bricked or damaged gpu's
rx 470, rx 480, rx 570, rx 580
vega 56 or vega 64
any nividia",v-general-electronics,2022/01/16,https://www.kijiji.ca/v-general-electronics/edmonton/wanted-bricked-gpus/1602066470
,,,Msi Radeon Rx Vega 56 Pci-Express,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/393852104394
,,,MSI Radeon RX Vega 56 / 64 Air Boost 8G OC 8 Go HBM2 Carte Graphique,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/255317446850
,,,MSI Radeon RX Vega 56 Air Boost 8G OC Graphics Board japan used with box,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/363635543468
,,,PowerColor AMD Radeon RX Vega 56 8GB HBM2 Graphics Card  4713436170679 | eBay,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/185246664383
,,,AMD Radeon RX Vega 56 8GB Graphics Card Phantom Gaming,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/224767371253
,,,Blackmagic Egpu Pro Vega 56 8GB Vram,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/194579368908
,,,(Hors Service) Asus strix Radeon RX Vega 56 OcEdition - (Vendu Hors Service),Condition:For parts or not working,Graphics/Video Cards,,https://www.ebay.ca/itm/255195802119
,,,MSI Radeon RX Vega 56 8GB OC GRAPHICS CARD RADEON RX VEGA 56 AIR BOOST 8G OC,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/203580247324
,,,Cooler Fan For ASUS Strix GTX 980Ti GTX 1060 1080 1070 RX 480 580 VEGA64 VEGA56,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/392481678706
,,,VEGA 56 - LONG - Colour - GPU Anti-Sagging Support Bracket NVIDIA AMD GTX RTX,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/264806204675
,,,VBIOS VGA BIOS CHIP - AMD RADEON RX 580 / 590 / VEGA 56 / VEGA 64 / FRONTIER,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/313012168389
,,,AMD Radeon Rx Vega 56 8GB Carte Graphique Fantôme Jeu,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/203776398892
,,,Blackmagic eGPU Pro Vega 56 8GB VRAM,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/224725602505
,,,MSI Radeon RX Vega 56 Air Boost 8G OC Graphics Board VD6516 PCI Exp x16 New F/S,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/234086801459
,,,VBIOS VGA BIOS CHIP - AMD RADEON RX 570 MOBILE / VEGA 56 MOBILE / 580 MOBILE,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/313015112782
